DistrictID,DistrictName,ProvinceID,ProvinceName,Region,SubRegion,VSD,Country,GID_2,GID_1,NAME_1,NAME_2,GADM_Latitude,GADM_Longitude,Population,Population_Density,Area,Functional_Profile,Priority_Tier,Zone,Assigned_District_Count,Assigned_NPP_Count,Region_VN,Economic_Type,District_Type,Province_Archetype,District_Archetype,Is Strategic Zone Hub,Est Merchant 2026,Before Discount,After Discount,Logistics Support,Operation Support, Distribution Cost ,Trade Cost,Activation Cost,Visibility Cost,Base Salary & Support,Incentive
170,Huyện Thạch An,16,Cao Bằng,NO,NO2,Trần Quang Tùng,Việt Nam,VNM.14.10_1,VNM.14_1,Cao Bằng,Thạch An,22.4807,106.3222477,27368,44.16656419,619.6542679,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,962,0.056,0.03,0.011,0.007,0.0285,0.11,0.053,0.13,0.046,0.027
171,Huyện Hạ Lang,16,Cao Bằng,NO,NO2,Trần Quang Tùng,Việt Nam,VNM.14.4_1,VNM.14_1,Cao Bằng,Hạ Lang,22.71065,106.6641935,23347,57.03203964,409.3663868,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,731,0.06,0.02,0.026,0.008,0.0696,0.089,0.058,0.105,0.089,0.023
173,Huyện Phục Hòa,16,Cao Bằng,NO,NO2,Trần Quang Tùng,Việt Nam,VNM.14.8_1,VNM.14_1,Cao Bằng,Phục Hoà,22.56575,106.5134915,21683,197.0622373,110.0312282,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,547,0.063,0.032,0.029,0.005,0.054,0.089,0.114,0.103,0.082,0.029
234,Huyện Đoan Hùng,40,Phú Thọ,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.44.2_1,VNM.44_1,Phú Thọ,Đoan Hùng,21.6156,105.1463049,122521,432.248371,283.4504609,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1536,0.041,0.028,0.027,0.005,0.03,0.146,0.087,0.078,0.07,0.024
235,Huyện Thanh Ba,40,Phú Thọ,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.44.9_1,VNM.44_1,Phú Thọ,Thanh Ba,21.45085,105.1624898,122882,674.4417172,182.1981008,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1319,0.041,0.02,0.029,0.007,0.0837,0.101,0.077,0.082,0.053,0.044
236,Huyện Hạ Hoà,40,Phú Thọ,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.44.3_1,VNM.44_1,Phú Thọ,Hạ Hoà,21.5874,104.9996149,111737,349.6458715,319.5719129,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1514,0.04,0.04,0.011,0.007,0.0097,0.056,0.121,0.099,0.039,0.033
237,Huyện Cẩm Khê,40,Phú Thọ,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.44.1_1,VNM.44_1,Phú Thọ,Cẩm Khê,21.3878,105.1035302,148374,677.8751115,218.8810261,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1590,0.053,0.032,0.011,0.005,0.0882,0.079,0.103,0.138,0.056,0.035
238,Huyện Yên Lập,40,Phú Thọ,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.44.13_1,VNM.44_1,Phú Thọ,Yên Lập,21.3704,104.9780729,98819,240.9850978,410.0627005,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1541,0.057,0.024,0.016,0.008,0.0243,0.132,0.091,0.086,0.042,0.032
239,Huyện Thanh Sơn,40,Phú Thọ,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.44.10_1,VNM.44_1,Phú Thọ,Thanh Sơn,21.08555,105.1957855,141678,243.7603103,581.2184922,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,2201,0.07,0.021,0.015,0.007,0.0273,0.07,0.064,0.121,0.071,0.025
240,Huyện Phù Ninh,40,Phú Thọ,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.44.5_1,VNM.44_1,Phú Thọ,Phù Ninh,21.45705,105.299815,118137,802.0534584,147.2931745,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1198,0.054,0.03,0.019,0.008,0.0091,0.073,0.147,0.08,0.081,0.045
241,Huyện Lâm Thao,40,Phú Thọ,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.44.4_1,VNM.44_1,Phú Thọ,Lâm Thao,21.3272,105.2866745,114921,1248.033962,92.08162878,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1014,0.068,0.033,0.024,0.007,0.017,0.098,0.15,0.062,0.049,0.033
242,Huyện Tam Nông,40,Phú Thọ,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.44.7_1,VNM.44_1,Phú Thọ,Tam Nông,21.3091,105.2303293,93575,642.6467993,145.6087544,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1021,0.041,0.032,0.017,0.009,0.0282,0.053,0.089,0.11,0.077,0.024
243,Huyện Thanh Thuỷ,40,Phú Thọ,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.44.11_1,VNM.44_1,Phú Thọ,Thanh Thuỷ,21.12705,105.2846104,90054,765.5786896,117.628666,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,927,0.059,0.038,0.021,0.006,0.0492,0.095,0.084,0.143,0.068,0.031
261,Huyện Kim Bảng,23,Hà Nam,NO,NO2,Trần Quang Tùng,Việt Nam,VNM.28.3_1,VNM.28_1,Hà Nam,Kim Bảng,20.57115,105.8433055,124808,760.2426531,164.1686368,,Unsuitable,None,0,0,Đồng bằng sông Hồng,None,Huyện,Đồng bằng mật độ cao - tiêu dùng ổn định,Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1348,0.069,0.02,0.024,0.006,0.041,0.064,0.118,0.144,0.07,0.022
262,Huyện Lý Nhân,23,Hà Nam,NO,NO2,Trần Quang Tùng,Việt Nam,VNM.28.4_1,VNM.28_1,Hà Nam,Lý Nhân,20.5483,106.0999001,193718,1226.131166,157.9912537,,Unsuitable,None,0,0,Đồng bằng sông Hồng,None,Huyện,Đồng bằng mật độ cao - tiêu dùng ổn định,Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1803,0.051,0.03,0.025,0.005,0.0492,0.088,0.076,0.133,0.044,0.022
263,Huyện Thanh Liêm,23,Hà Nam,NO,NO2,Trần Quang Tùng,Việt Nam,VNM.28.6_1,VNM.28_1,Hà Nam,Thanh Liêm,20.4463,105.9206516,117790,763.1803208,154.3409818,,Unsuitable,None,0,0,Đồng bằng sông Hồng,None,Huyện,Đồng bằng mật độ cao - tiêu dùng ổn định,Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1271,0.04,0.028,0.029,0.009,0.0664,0.053,0.067,0.122,0.073,0.037
264,Huyện Bình Lục,23,Hà Nam,NO,NO2,Trần Quang Tùng,Việt Nam,VNM.28.1_1,VNM.28_1,Hà Nam,Bình Lục,20.48945,106.0426369,132171,979.2877289,134.9664619,,Unsuitable,None,0,0,Đồng bằng sông Hồng,None,Huyện,Đồng bằng mật độ cao - tiêu dùng ổn định,Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1317,0.044,0.023,0.026,0.01,0.0166,0.083,0.076,0.052,0.086,0.021
303,Huyện Đồng Văn,22,Hà Giang,NO,NO3,Trần Quang Tùng,Việt Nam,VNM.26.3_1,VNM.26_1,Hà Giang,Đồng Văn,23.2429,105.2468806,87823,207.8116524,422.608641,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1445,0.06,0.03,0.016,0.007,0.0085,0.085,0.073,0.074,0.038,0.022
305,Huyện Yên Minh,22,Hà Giang,NO,NO3,Trần Quang Tùng,Việt Nam,VNM.26.11_1,VNM.26_1,Hà Giang,Yên Minh,23.071,105.2094836,104633,144.006803,726.5837295,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1991,0.069,0.02,0.023,0.007,0.0372,0.107,0.127,0.082,0.093,0.042
306,Huyện Quản Bạ,22,Hà Giang,NO,NO3,Trần Quang Tùng,Việt Nam,VNM.26.7_1,VNM.26_1,Hà Giang,Quản Bạ,23.06915,104.951075,57357,113.0677194,507.2800646,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1206,0.04,0.024,0.025,0.008,0.0686,0.09,0.067,0.125,0.093,0.029
309,Huyện Hoàng Su Phì,22,Hà Giang,NO,NO3,Trần Quang Tùng,Việt Nam,VNM.26.5_1,VNM.26_1,Hà Giang,Hoàng Su Phì,22.69285,104.6907006,71523,120.8830973,591.6708094,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1467,0.042,0.035,0.017,0.006,0.056,0.064,0.134,0.133,0.072,0.039
310,Huyện Xín Mần,22,Hà Giang,NO,NO3,Trần Quang Tùng,Việt Nam,VNM.26.10_1,VNM.26_1,Hà Giang,Xín Mần,22.6367,104.5035683,72934,132.8017045,549.1947582,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1436,0.06,0.029,0.026,0.007,0.05,0.085,0.102,0.111,0.04,0.037
312,Huyện Quang Bình,22,Hà Giang,NO,NO3,Trần Quang Tùng,Việt Nam,VNM.26.8_1,VNM.26_1,Hà Giang,Quang Bình,22.38585,104.6534394,66190,89.34877477,740.8047863,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1538,0.058,0.034,0.03,0.007,0.0747,0.067,0.063,0.13,0.062,0.034
314,Huyện Đà Bắc,28,Hoà Bình,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.30.2_1,VNM.30_1,Hoà Bình,Đà Bắc,20.93105,105.0680452,53476,76.80985764,696.2127212,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1427,0.049,0.034,0.014,0.006,0.0291,0.137,0.11,0.144,0.065,0.032
315,Huyện Mai Châu,28,Hoà Bình,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.30.9_1,VNM.30_1,Hoà Bình,Mai Châu,20.7175,104.9815705,54097,106.0934028,509.8997539,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1260,0.045,0.028,0.013,0.007,0.0616,0.09,0.1,0.128,0.095,0.042
316,Huyện Tân Lạc,28,Hoà Bình,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.30.10_1,VNM.30_1,Hoà Bình,Tân Lạc,20.6089,105.2290112,84479,177.4494978,476.0734803,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1598,0.061,0.038,0.018,0.01,0.0186,0.136,0.058,0.097,0.031,0.042
317,Huyện Lạc Sơn,28,Hoà Bình,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.30.6_1,VNM.30_1,Hoà Bình,Lạc Sơn,20.49495,105.4367062,132861,252.7128284,525.7390407,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,2186,0.045,0.037,0.011,0.009,0.041,0.088,0.051,0.136,0.078,0.044
318,Huyện Kỳ Sơn,28,Hoà Bình,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.30.4_1,VNM.30_1,Hoà Bình,Kỳ Sơn,20.90205,105.3993444,68467,363.0201664,188.6038472,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,2523,0.059,0.022,0.013,0.005,0.0712,0.116,0.053,0.057,0.048,0.022
340,Huyện Kim Bôi,28,Hoà Bình,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.30.5_1,VNM.30_1,Hoà Bình,Kim Bôi,20.6748,105.5149464,115472,234.1869722,493.0761046,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1956,0.046,0.025,0.015,0.005,0.0376,0.075,0.11,0.065,0.062,0.037
341,Huyện Lạc Thủy,28,Hoà Bình,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.30.7_1,VNM.30_1,Hoà Bình,Lạc Thủy,20.49535,105.7500765,58718,209.2342821,280.6327884,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1039,0.064,0.027,0.028,0.009,0.0332,0.132,0.07,0.112,0.097,0.033
343,Huyện Cao Phong,28,Hoà Bình,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.30.1_1,VNM.30_1,Hoà Bình,Cao Phong,20.6912,105.3403436,44209,193.5831997,228.3720905,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,808,0.043,0.031,0.01,0.006,0.0184,0.13,0.143,0.055,0.099,0.049
391,Huyện Si Ma Cai,35,Lào Cai,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.38.8_1,VNM.38_1,Lào Cai,Si Ma Cai,22.65775,104.2722375,40559,184.5880431,219.7271249,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,695,0.064,0.032,0.012,0.006,0.0546,0.082,0.076,0.069,0.067,0.05
393,Huyện Bảo Thắng,35,Lào Cai,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.38.1_1,VNM.38_1,Lào Cai,Bảo Thắng,22.37845,104.1465245,111716,183.1753902,609.8854211,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1923,0.069,0.038,0.024,0.009,0.049,0.096,0.063,0.114,0.049,0.039
397,Huyện Bắc Hà,35,Lào Cai,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.38.3_1,VNM.38_1,Lào Cai,Bắc Hà,22.50365,104.3061054,70687,110.5929578,639.1636629,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1492,0.06,0.039,0.025,0.007,0.0415,0.124,0.101,0.108,0.062,0.035
398,Huyện Mường Khương,35,Lào Cai,NO,NO1,Trần Quang Tùng,Việt Nam,VNM.38.6_1,VNM.38_1,Lào Cai,Mường Khương,22.6854,104.1032292,68895,132.4445686,520.1798814,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1349,0.057,0.039,0.029,0.005,0.05,0.109,0.072,0.145,0.063,0.049
414,Huyện Văn Lãng,34,Lạng Sơn,NO,NO2,Trần Quang Tùng,Việt Nam,VNM.35.10_1,VNM.35_1,Lạng Sơn,Văn Lãng,22.03015,106.5709951,52366,98.61904514,530.9927705,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1177,0.047,0.031,0.017,0.007,0.0855,0.096,0.129,0.1,0.088,0.044
415,Huyện Bắc Sơn,34,Lạng Sơn,NO,NO2,Trần Quang Tùng,Việt Nam,VNM.35.1_1,VNM.35_1,Lạng Sơn,Bắc Sơn,21.81635,106.2508395,75833,115.8599489,654.5229885,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1596,0.057,0.037,0.023,0.007,0.051,0.054,0.053,0.09,0.041,0.026
416,Huyện Văn Quan,34,Lạng Sơn,NO,NO2,Trần Quang Tùng,Việt Nam,VNM.35.11_1,VNM.35_1,Lạng Sơn,Văn Quan,21.85095,106.5602602,57114,111.4499457,512.4632378,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1222,0.062,0.024,0.016,0.01,0.07,0.129,0.147,0.075,0.035,0.025
417,Huyện Cao Lộc,34,Lạng Sơn,NO,NO2,Trần Quang Tùng,Việt Nam,VNM.35.3_1,VNM.35_1,Lạng Sơn,Cao Lộc,21.885,106.9087652,84164,145.2667723,579.3754392,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1614,0.045,0.034,0.014,0.007,0.0882,0.15,0.093,0.147,0.094,0.042
419,Huyện Chi Lăng,34,Lạng Sơn,NO,NO2,Trần Quang Tùng,Việt Nam,VNM.35.4_1,VNM.35_1,Lạng Sơn,Chi Lăng,21.66665,106.5939844,79095,120.0200305,659.0149964,,Unsuitable,None,0,0,Trung du & miền núi phía Bắc,None,Huyện,"Miền núi/trung du - phân tán, cần hub liên huyện",Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1638,0.041,0.033,0.03,0.007,0.0665,0.099,0.12,0.135,0.091,0.027
438,Huyện Nho Quan,66,Ninh Bình,NO,NO2,Trần Quang Tùng,Việt Nam,VNM.42.4_1,VNM.42_1,Ninh Bình,Nho Quan,20.3108,105.7481069,134601,324.1418361,415.2534015,,Unsuitable,None,0,0,Đồng bằng sông Hồng,None,Huyện,Đồng bằng mật độ cao - tiêu dùng ổn định,Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,2097,0.043,0.026,0.017,0.008,0.018,0.119,0.08,0.114,0.053,0.03
439,Huyện Gia Viễn,66,Ninh Bình,NO,NO2,Trần Quang Tùng,Việt Nam,VNM.42.1_1,VNM.42_1,Ninh Bình,Gia Viễn,20.3297,105.87337,108694,667.4934533,162.8390503,,Unsuitable,None,0,0,Đồng bằng sông Hồng,None,Huyện,Đồng bằng mật độ cao - tiêu dùng ổn định,Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,1318,0.07,0.024,0.029,0.009,0.06,0.083,0.124,0.146,0.082,0.023
450,Huyện Hoa Lư,66,Ninh Bình,NO,NO2,Trần Quang Tùng,Việt Nam,VNM.42.2_1,VNM.42_1,Ninh Bình,Hoa Lư,20.24925,105.9162367,286689,2069.807889,138.5099562,,Unsuitable,None,0,0,Đồng bằng sông Hồng,None,Huyện,Đồng bằng mật độ cao - tiêu dùng ổn định,Huyện tiêu dùng nền - phụ thuộc hub tỉnh/liên huyện,0,2489,0.06,0.022,0.016,0.007,0.0276,0.084,0.079,0.143,0.088,0.027
